Abendschule|evening school
Hochmisette|high mass
Hochmist|high manure
Hochmitglied|high member
Hochmitre|high mitre
Hochmittagsglut|midday heat
Hochmittel|high means
Hochmittelschule|secondary school
Hochmittelstand|upper middle class
Hochmittelwert|high average
Hochmitter|high mitre
Hochmitternacht|high midnight
Hochmittrierung|high mitring
Hochmitträger|high bearer
Hochmittsommer|high midsummer
Hochmode|high fashion
Hochmöglich|as high as possible
Hochmöglichkeit|high possibility
Hochmöglichst|as high as possible
Hochmöglichsten|as high as possible
Hochschule|university
Hypothese|hypothesis
Impfung|vaccination
Import|import
Inflation|inflation
Investition|investment
Jahrhundert|century
Jahrzehnt|decade
Kaiser|emperor
Kapitel|chapter
Kaution|deposit
Klage|lawsuit
Klimawandel|climate change
Kolonie|colony
Kompromiss|compromise
Konflikt|conflict
Kosten|costs
Krankenkasse|health insurance
Krankenversicherung|health insurance
Krankenwagen|ambulance
Kreuzung|intersection
Krieg|war
Kritik|criticism
König|king
Labor|laboratory
Lösung|solution
Master|master's degree
Mauer|wall
Mehrheit|majority
Meinung|opinion
Methode|method
Miete|rent
Mieter|tenant
Mietvertrag|rental agreement
Mikroskop|microscope
Minderheit|minority
Missverständnis|misunderstanding
Motivation|motivation
Märchen|fairy tale
Nachbar|neighbor
Nachfrage|demand
Nachhilfe|private lessons
Naturschutz|nature conservation
Nebenkosten|incidental costs
Neubau|new building
Notaufnahme|emergency room
Operation|operation
Ordnung|order
Organ|organ
Organisation|organization
Originalpreis|original price
Ort|place
Ortschaft|municipality
Paket|package
Papier|paper
Paradies|paradise
Parfüm|perfume
Park|park
Parkplatz|parking space
Partei|party
Partner|partner
Partnerschaft|partnership
Pass|passport
Passage|passage
Passagier|passenger
Passant|passer-by
Pension|pension
Perestroika|perestroika
Perfektheit|perfection
Perfektion|perfection
Person|person
Personage|personality
Personalie|person's data
Personalien|personal data
Personenkreis|group of people
Personenkult|personality cult
Personenkw|car
Personenschaden|personal injury
Personentransport|passenger transport
Personenwagen|car
Personenzug|passenger train
Perspektive|perspective
Perversion|perversion
Pervertierung|perversion
Perücke|wig
Pest|plague
Petroleum|petroleum
Petschaft|seal
Peul|Peul
Peulen|Peuls
Peuplements|settlements
Peuterschale|pewter dish
Peutil|Peul
Pexie|pexia
Pfad|path
Pfahl|stake
Pfahlbau|pile dwelling
Pfahlbürger|pfahlbürger
Pfahldorf|pile dwelling village
Pfahlung|staking
Pfahlwerk|palisade
Pfand|pledge
Pfander|one who pledges
Pfandgeld|pledged money
Pfandkammer|pawn shop
Pfandleier|pawnbroker
Pfandleihe|pawn shop
Pfandrecht|pledge right
Pfandschein|pawn ticket
Pfandung|seizure
Pfandungsglaubiger|creditor with seizure right
Pfandungsordnung|seizure regulations
Pfanne|pan
Pfannen|pans
Pfannenbäcker|pancake maker
Pfannenfell|pan skin
Pfannenflicker|pan mender
Pfannenform|pan shape
Pfannenkuchen|pancake
Pfannenstiel|pan handle
Pfannigel|scaly anteater
Pfarramt|parish office
Pfarrbeamte|parish official
Pfarrbezirk|parish district
Pfarrei|parish
Pfarreigut|parish property
Pfarreiheim|parish center
Pfarrer|priest
Pfarrerin|female priest
Pfarrerskinder|priests' children
Pfarrerwahl|priest election
Pfarrerwohnung|priest's residence
Pfarrgebiet|parish territory
Pfarrgemeinde|parish community
Pfarrgemeinderat|parish council
Pfarrger|parish property
Pfarrhausangestellte|parish house employee
Pfarrherr|parish priest
Pfarrherrin|female parish priest
Pfarrhoheit|parish authority
Pfarrhufe|parish holdings
Pfarrhufen|parish holdings
Pfarrike|parish
Pfarrinventar|parish inventory
Pfarrjunge|parish boy
Pfarrkanzlei|parish office
Pfarrkaplan|assistant priest
Pfarrkasse|parish fund
Pfarrkeller|parish cellar
Pfarrkirche|parish church
Pfarrkläger|parish accuser
Pfarrkneipe|parish tavern
Pfarrkohle|parish coal
Pfarrkohlen|parish coal
Pfarrkompanie|parish company
Pfarrkonsulent|parish consultant
Pfarrkonvikat|parish vicariat
Pfarrkoppel|parish paddock
Pfarrkornkasten|parish grain bin
Pfarrkornmühle|parish mill
Pfarrkorpsgeist|parish spirit
Pfarrkrant|parish sick person
Pfarrkrantenbesuch|parish visit to sick
Pfarrkrantenfahrt|parish sick transport
Pfarrkrantenpflege|parish patient care
Pfarrkranzahl|parish sick count
Pfarrkratze|parish scraper
Pfarrkrone|parish crown
Pfarrkuhl|parish cool
Pfarrkuhlkasten|parish cool box
Pfarrköhler|parish charcoal burner
Pfarrküche|parish kitchen
Pfarrküfer|parish cooper
Pfarrladen|parish shop
Pfarrlage|parish situation
Pfarrlandsasse|parish landowner
Pfarrlandscheffel|parish land measure
Pfarrlandscholle|parish land clod
Pfarrlandschrift|parish land deed
Pfarrlandsfeld|parish land field
Pfarrlandsforst|parish land forest
Pfarrlandsfrau|parish land woman
Pfarrlandsgasse|parish land lane
Pfarrlandsgebiet|parish land area
Pfarrlandsgericht|parish land court
Pfarrlandsgold|parish land gold
Pfarrlandsgoldkammer|parish land gold chamber
Pfarrlandsgoldmeister|parish land goldmaster
Pfarrlandsgrenze|parish land boundary
Pfarrlandsgribhuft|parish land holding
Pfarrlandsgrund|parish land ground
Pfarrlandsgruppe|parish land group
Pfarrlandsgruppenleiter|parish land group leader
Pfarrlandsgründe|parish land grounds
Pfarrlandshack|parish land patch
Pfarrlandshagel|parish land hail
Pfarrlandshalde|parish land slope
Pfarrlandshalle|parish land hall
Pfarrlandshalt|parish land hold
Pfarrlandshammer|parish land hammer
Pfarrlandshang|parish land slope
Pfarrlandshanglage|parish land slope position
Pfarrlandshangweg|parish land slope way
Pfarrlandshaube|parish land hood
Pfarrlandshaudenkammer|parish land harden chamber
Pfarrlandshaugen|parish land lumps
Pfarrlandshaupt|parish land chief
Pfarrlandshauptdorf|parish land chief village
Pfarrlandshauptfrau|parish land chief woman
Pfarrlandshauptmann|parish land chief man
Pfarrlandshauptsiedlung|parish land chief settlement
Pfarrlandshauptstadt|parish land chief city
Pfarrlandshaus|parish land house
Pfarrlandshausflur|parish land house floor
Pfarrlandshausgast|parish land house guest
Pfarrlandshausgeld|parish land house money
Pfarrlandshausgerechtigkeit|parish land house rights
Pfarrlandshausgesinde|parish land house servants
Pfarrlandshaushalt|parish land household
Pfarrlandshaushalter|parish land housekeeper
Pfarrlandshaushalts|parish land household's
Pfarrlandshaushalts-material|parish land household material
Pfarrlandshaushaltsbudget|parish land household budget
Pfarrlandshaushaltsführer|parish land household leader
Pfarrlandshaushaltsführung|parish land household leadership
Pfarrlandshaushaltsgesamtsumme|parish land household total sum
Pfarrlandshaushaltsgesetz|parish land household law
Pfarrlandshaushaltsgruppe|parish land household group
Pfarrlandshaushaltsgruppenkonto|parish land household group account
Pfarrlandshaushaltsgruppenliste|parish land household group list
Pfarrlandshaushaltsgruppentitel|parish land household group title
Pfarrlandshaushaltshauptgruppe|parish land household main group
Pfarrlandshaushaltshauptgruppenkonto|parish land household main group account
Pfarrlandshaushaltshauptgruppenliste|parish land household main group list
Pfarrlandshaushaltshauptgruppentitel|parish land household main group title
Pfarrlandshaushaltshoheit|parish land household authority
Pfarrlandshaushaltshoheitlich|parish land household authority-like
Pfarrlandshaushaltsinspektor|parish land household inspector
Pfarrlandshaushaltskahupt|parish land household chief
Pfarrlandshaushaltskapitel|parish land household chapter
Pfarrlandshaushaltsleiter|parish land household leader
Pfarrlandshaushaltsleitung|parish land household leadership
Pfarrlandshaushaltsliste|parish land household list
Pfarrlandshaushaltsmaßnahme|parish land household measure
Pfarrlandshaushaltsmaßnahmen|parish land household measures
Pfarrlandshaushaltsmaßnahmenkatalog|parish land household measure catalog
Pfarrlandshaushaltsmaßnahmeplan|parish land household measure plan
Pfarrlandshaushaltsmedium|parish land household medium
Pfarrlandshausmiete|parish land house rent
Pfarrlandshausmitglied|parish land house member
Pfarrlandshausmittel|parish land house funds
Pfarrlandshausmusik|parish land house music
Pfarrlandshausmusiker|parish land house musician
Pfarrlandshausmusiks|parish land house music's
Pfarrlandshausmutter|parish land house mother
Pfarrlandshausname|parish land house name
Pfarrlandshausnamen|parish land house names
Pfarrlandshausnummer|parish land house number
Pfarrlandshausnummern|parish land house numbers
Pfarrlandshausnummernbezeichnung|parish land house number designation
Pfarrlandshausnummernplakette|parish land house number plaque
Pfarrlandshausnummier|parish land house numbered
Pfarrlandshausordnung|parish land house rules
Pfarrlandshausordnungsgemäß|parish land house rule-like
Pfarrlandshausordnungswidrigkeit|parish land house rule violation
Pfarrlandshauspartei|parish land house party
Pfarrlandshausplatz|parish land house place
Pfarrlandshausplazierung|parish land house placement
Pfarrlandshauspolizei|parish land house police
Pfarrlandshausportier|parish land house porter
Pfarrlandshauspracht|parish land house splendor
Pfarrlandshausprachtbau|parish land house splendid building
Pfarrlandshauspraetorium|parish land house praetorium
Pfarrlandshauspreis|parish land house price
Pfarrlandshauspreisliste|parish land house price list
Pfarrlandshauspreisänderung|parish land house price change
Pfarrlandshauspremienzug|parish land house premium train
Pfarrlandshauspreß|parish land house press
Pfarrlandshausprobe|parish land house sample
Pfarrlandshausprobesammer|parish land house sample room
Pfarrlandshausprobleme|parish land house problems
Pfarrlandshausproblemzone|parish land house problem zone
Pfarrlandshausprodukt|parish land house product
Pfarrlandshausprodukte|parish land house products
Pfarrlandshausproduktion|parish land house production
Pfarrlandshausproduktionsanlage|parish land house production facility
Pfarrlandshausproduktionsbereich|parish land house production area
Pfarrlandshausproduktionsdaten|parish land house production data
Pfarrlandshausproduktionsergebnis|parish land house production result
Pfarrlandshausproduktionsfaktor|parish land house production factor
Pfarrlandshausproduktionsgemeinschaft|parish land house production community
Pfarrlandshausproduktionsgenehmigun|parish land house production approval
Pfarrlandshausproduktionsgenehmigung|parish land house production approval
Pfarrlandshausproduktionsgenossenschaft|parish land house production cooperative
Pfarrlandshauspächter|parish land house tenant
Pfarrlandshänge|parish land slopes
Pfarrlandshängig|parish land sloped
Pfarrlandshäubchen|parish land little hood
Pfarrländerei|parish agriculture
Pfarrlänner|parish agriculturer
Pfänder|one who seizes
abholzen|to deforest
aggressiv|aggressive
arrogant|arrogant
aufgeschlossen|open-minded
aufrichtig|sincere
ausgestorben|extinct
ausgezeichnet|excellent
aussterben|to become extinct
bedroht|threatened
begabt|gifted
bescheiden|modest
beschädigt|damaged
beschämt|ashamed
chaotisch|chaotic
das Atomkraftwerk|the nuclear power plant
das Aussterben|the extinction
das CO2|the CO2
das Delta|the delta
das Eichhörnchen|the squirrel
das Erdbeben|the earthquake
das Erdgas|the natural gas
das Erdöl|the crude oil
das Feld|the field
das Ferkel|the piglet
das Feuer|the fire
das Getreide|the grain
das Gras|the grass
das Huhn|the chicken
das Kalb|the calf
das Kamel|the camel
das Kernkraftwerk|the nuclear power plant
das Kohlekraftwerk|the coal power plant
das Kohlendioxid|the carbon dioxide
das Korallenriff|the coral reef
das Kraftwerk|the power plant
das Kraut|the herb
das Krokodil|the crocodile
das Lamm|the lamb
das Loch|the hole
das Maultier|the mule
das Meer|the sea
das Moos|the moss
das Murmeltier|the groundhog
das Nashorn|the rhinoceros
das Naturschutzgebiet|the nature reserve
das Nilpferd|the hippopotamus
das Ozonloch|the ozone hole
das Pestizid|the pesticide
das Pfand|the deposit
das Pferd|the horse
das Riff|the reef
das Schaf|the sheep
das Schwein|the pig
das Solarpanel|the solar panel
das Stromnetz|the power grid
das Tal|the valley
das Treibhausgas|the greenhouse gas
das Vieh|the livestock
das Wachstum|the growth
das Wasser|the water
das Wiesel|the weasel
das Wildtier|the wildlife
das Windrad|the wind turbine
das Ökosystem|the ecosystem
deprimiert|depressed
der Aal|the eel
der Adler|the eagle
der Alligator|the alligator
der Apfel|the apple
der Bach|the stream
der Baum|the tree
der Berg|the mountain
der Biomüll|the organic waste
der Bruchstein|the rubble
der Brunnen|the well
der Bulle|the bull
der Busch|the bush
der Bär|the bear
der Dachs|the badger
der Damm|the dam
der Deich|the dike
der Dünger|the fertilizer
der Eisbär|the polar bear
der Elefant|the elephant
der Energieverbrauch|the energy consumption
der Esel|the donkey
der Falke|the falcon
der Felsen|the rock
der Fink|the finch
der Fisch|the fish
der Flamingo|the flamingo
der Floh|the flea
der Fluss|the river
der Frosch|the frog
der Frost|the frost
der Fuchs|the fox
der Golf|the gulf
der Hafen|the port
der Hafer|the oats
der Hahn|the rooster
der Hammel|the wether
der Hamster|the hamster
der Hausmüll|the household waste
der Hecht|the pike
der Hering|the herring
der Hirschkäfer|the stag beetle
der Humus|the humus
der Hund|the dog
der Hügel|the hill
der Igel|the hedgehog
der Kabeljau|the cod
der Kanal|the canal
der Kanarienvogel|the canary
der Karpfen|the carp
der Kies|the gravel
der Klee|the clover
der Klimawandel|the climate change
der Kohl|the cabbage
der Kranich|the crane
der Käfer|the beetle
der Landwirt|the farmer
der Lebensraum|the habitat
der Leopard|the leopard
der Luftdruck|the air pressure
der Löwe|the lion
der Mais|the corn
der Marder|the marten
der Marienkäfer|the ladybird
der Mistkäfer|the dung beetle
der Molch|the newt
der Naturschutz|the nature conservation
der Nieselregen|the drizzle
der Orkan|the hurricane
der Otter|the otter
der Panda|the panda
der Panther|the panther
der Papagei|the parrot
der Pfirsich|the peach
der Pilz|the mushroom
der Pinguin|the penguin
der Plastikmüll|the plastic waste
der Rabe|the raven
der Regenschauer|the rain shower
der Regenwald|the rainforest
der Regenwurm|the earthworm
der Reiher|the heron
der Reis|the rice
der Riss|the crack
der Samen|the seed
der Sand|the sand
der Schacht|the shaft
der Schauer|the shower
der Schlamm|the mud
der Schlund|the chasm
der Schneefall|the snowfall
der Schneesturm|the snowstorm
der Schwan|the swan
der See|the lake
der Skorpion|the scorpion
der Smog|the smog
der Sperling|the sparrow
der Spinat|the spinach
der Sprung|the fracture
der Stein|the stone
der Stier|the bull
der Stollen|the tunnel
der Storch|the stork
der Strand|the beach
der Strauch|the shrub
der Strauß|the ostrich
der Stromausfall|the power outage
der Tierschutz|the animal protection
der Tiger|the tiger
der Ton|the clay
der Tornado|the tornado
der Treibhauseffekt|the greenhouse effect
der Truthahn|the turkey
der Umweltschutz|the environmental protection
der Urwald|the primeval forest
der Verbrauch|the consumption
der Vogel|the bird
der Wald|the forest
der Weizen|the wheat
der Wolf|the wolf
der fossile Brennstoff|the fossil fuel
die Abgase|the exhaust gases
die Abholzung|the deforestation
die Alge|the algae
die Art|the species
die Artenvielfalt|the species diversity
die Atomenergie|the nuclear energy
die Biene|the bee
die Biodiversität|the biodiversity
die Birne|the pear
die Blaubeere|the blueberry
die Blume|the flower
die Bohne|the bean
die Brombeere|the blackberry
die Bruch|the fracture
die Bucht|the bay
die Drohne|the drone
die Dürre|the drought
die Ebene|the plain
die Eidechse|the lizard
die Einwegflasche|the single-use bottle
die Elektrizität|the electricity
die Ente|the duck
die Erbse|the pea
die Erdbeere|the strawberry
die Erde|the earth
die Erderwärmung|the global warming
die Eule|the owl
die Feuchtigkeit|the humidity
die Fliege|the fly
die Forelle|the trout
die Gans|the goose
die Gerste|the barley
die Giraffe|the giraffe
die Grille|the cricket
die Grotte|the grotto
die Grube|the pit
die Gurke|the cucumber
die Halbinsel|the peninsula
die Hecke|the hedge
die Henne|the hen
die Heuschrecke|the locust
die Himbeere|the raspberry
die Hitzewelle|the heat wave
die Honigbiene|the honey bee
die Hornisse|the hornet
die Höhle|the cave
die Insel|the island
die Johannisbeere|the currant
die Kanalisation|the sewage system
die Kartoffel|the potato
die Katze|the cat
die Kernenergie|the nuclear energy
die Kirsche|the cherry
die Klimakrise|the climate crisis
die Kohle|the coal
die Krähe|the crow
die Kröte|the toad
die Kuh|the cow
die Kältewelle|the cold wave
die Kücken|the chick
die Küste|the coast
die Ladestation|the charging station
die Landwirtin|the farmer
die Landwirtschaft|the agriculture
die Lerche|the lark
die Libelle|the dragonfly
die Luft|the air
die Luftfeuchtigkeit|the humidity
die Luftverschmutzung|the air pollution
die Läuse|the lice
die Löwin|the lioness
die Makrele|the mackerel
die Maus|the mouse
die Mehrwegflasche|the reusable bottle
die Motte|the moth
die Mulch|the mulch
die Mücke|the mosquito
die Mülltrennung|the waste separation
die Nachhaltigkeit|the sustainability
die Nacktschnecke|the slug
die Narzisse|the daffodil
die Naturkatastrophe|the natural disaster
die Pflanze|the plant
die Pflanzenart|the plant species
die Preiselbeere|the lingonberry
die Quelle|the source
die Ratte|the rat
die Rose|the rose
die Rübe|the beet
die Saat|the seed
die Sardine|the sardine
die Sau|the sow
die Scheune|the barn
die Schildkröte|the turtle
die Schlange|the snake
die Schleuse|the lock
die Schlucht|the gorge
die Schmetterlinge|the butterfly
die Schnecke|the snail
die Schwalbe|the swallow
die Solarenergie|the solar energy
die Solarzelle|the solar cell
die Sonnenenergie|the solar energy
die Spalte|the crevasse
die Spinne|the spider
die Spinnennetze|the spider web
die Stachelbeere|the gooseberry
die Taube|the dove
die Tierart|the animal species
die Tomate|the tomato
die Tonerde|the clay
die Tulpe|the tulip
die Umweltverschmutzung|the environmental pollution
die Verpackung|the packaging
die Verschmutzung|the pollution
die Viehzucht|the livestock farming
die Viper|the viper
die Wasserkraft|the hydropower
die Wasserleitung|the water pipe
die Wasserverschmutzung|the water pollution
die Wespe|the wasp
die Wiederverwertung|the recycling
die Wiese|the meadow
die Windenergie|the wind energy
die Ziege|the goat
die Zikade|the cicada
die Zucht|the breeding
die bedrohte Art|the endangered species
die erneuerbare Energie|the renewable energy
die globale Erwärmung|the global warming
die Ökologie|the ecology
die Überschwemmung|the flood
durchsichtig|transparent
dynamisch|dynamic
düngen|to fertilize
egoistisch|selfish
eifersüchtig|jealous
eingebildet|conceited
eisig|icy
empört|outraged
energisch|energetic
entsetzlich|horrible
erfreut|delighted
erleichtert|relieved
erneuerbar|renewable
erschöpft|exhausted
erstaunt|astonished
extrovertiert|extroverted
fantasievoll|imaginative
fehlerhaft|erroneous
feucht|humid
flink|agile
fossil|fossil
frostig|frosty
frustriert|frustrated
furchtbar|terrible
gefrieren|to freeze
gefährdet|endangered
gelassen|calm
geschickt|skillful
gesellig|social
gesprächig|talkative
gewalttätig|violent
gleichgültig|indifferent
glänzend|shiny
großzügig|generous
hageln|to hail
hartnäckig|persistent
heiter|cheerful
herrlich|magnificent
hoffnungsvoll|hopeful
introvertiert|introverted
klimatisch|climatic
kontaktfreudig|sociable
landwirtschaftlich|agricultural
launisch|moody
lebhaft|lively
loyal|loyal
matt|matte
mild|mild
nachhaltig|sustainable
nachlässig|negligent
neidisch|envious
niedergeschlagen|downhearted
nostalgisch|nostalgic
nuklear|nuclear
optimal|optimal
panisch|panicky
pflanzlich|plant
pflügen|to plow
riskant|risky
schockiert|shocked
schuldig|guilty
schwül|sultry
selbstbewusst|self-confident
selbstständig|independent
sorgfältig|careful
stur|stubborn
stürmisch|stormy
säen|to sow
talentiert|talented
tapfer|brave
tierisch|animal
tolerant|tolerant
träge|sluggish
trüb|turbid
türkis|turquoise
umweltfreundlich|environmentally friendly
umweltschädlich|environmentally harmful
unabhängig|independent
unzuverlässig|unreliable
veraltet|obsolete
verantwortlich|responsible
verpacken|to package
verschmutzen|to pollute
verschmutzt|polluted
verwelken|to wilt
verängstigt|frightened
verärgert|annoyed
warmherzig|warm-hearted
wehen|to blow
wertvoll|valuable
wiederverwendbar|reusable
wiederverwerten|to recycle
winzig|tiny
zahlreich|numerous
zornig|angry
zurückhaltend|reserved
zuverlässig|reliable
züchten|to breed
öde|monotonous
ökologisch|ecological
überflüssig|superfluous
